40.52189, -74.46349, 
40.52181, -74.46339, 
40.52174, -74.46331, 
40.52168, -74.46326, 
40.52163, -74.46321, 
40.52158, -74.46317, 
40.52154, -74.46313, 
40.52150, -74.46311, 
40.52134, -74.46300, 
40.52110, -74.46287, 
40.52098, -74.46282, 
40.52052, -74.46264, 
40.52037, -74.46258, 
40.52024, -74.46253, 
40.52020, -74.46251, 
40.52008, -74.46245, 
40.51992, -74.46236, 
40.51979, -74.46227, 
40.51973, -74.46224, 
40.51961, -74.46215, 
40.51960, -74.46214, 
40.51911, -74.46179, 
40.51899, -74.46171, 
40.51892, -74.46166, 
40.51881, -74.46160, 
40.51867, -74.46154, 
40.51861, -74.46151, 
40.51858, -74.46149, 
40.51848, -74.46147, 
40.51829, -74.46147, 
40.51817, -74.46146, 
40.51809, -74.46146, 
40.51806, -74.46146, 
40.51795, -74.46148, 
40.51794, -74.46149, 
40.51792, -74.46151, 
40.51791, -74.46152, 
40.51789, -74.46152, 
40.51788, -74.46153, 
40.51786, -74.46154, 
40.51784, -74.46154, 
40.51783, -74.46155, 
40.51781, -74.46155, 
40.51779, -74.46155, 
40.51777, -74.46155, 
40.51776, -74.46155, 
40.51774, -74.46154, 
40.51773, -74.46154, 
40.51772, -74.46153, 
40.51771, -74.46153, 
40.51770, -74.46152, 
40.51769, -74.46151, 
40.51768, -74.46150, 
40.51768, -74.46149, 
40.51767, -74.46148, 
40.51767, -74.46146, 
40.51766, -74.46145, 
40.51765, -74.46143, 
40.51765, -74.46142, 
40.51764, -74.46140, 
40.51763, -74.46138, 
40.51763, -74.46136, 
40.51762, -74.46135, 
40.51762, -74.46133, 
40.51762, -74.46131, 
40.51762, -74.46128, 
40.51762, -74.46126, 
40.51762, -74.46124, 
40.51762, -74.46123, 
40.51763, -74.46121, 
40.51763, -74.46119, 
40.51764, -74.46117, 
40.51765, -74.46116, 
40.51765, -74.46115, 
40.51766, -74.46113, 
40.51768, -74.46112, 
40.51769, -74.46111, 
40.51771, -74.46110, 
40.51772, -74.46109, 
40.51774, -74.46108, 
40.51775, -74.46107, 
40.51777, -74.46107, 
40.51778, -74.46106, 
40.51789, -74.46094, 
40.51804, -74.46073, 
40.51810, -74.46066, 
40.51831, -74.46037, 
40.51834, -74.46032, 
40.51849, -74.46012, 
40.51868, -74.45986, 
40.51906, -74.45932, 
40.51944, -74.45878, 
40.51998, -74.45809, 
40.52040, -74.45759, 
40.52056, -74.45744, 
40.52068, -74.45734, 
40.52079, -74.45727, 
40.52093, -74.45717, 
40.52101, -74.45712, 
40.52135, -74.45694, 
40.52153, -74.45684, 
40.52159, -74.45681, 
40.52163, -74.45679, 
40.52169, -74.45677, 
40.52172, -74.45676, 
40.52176, -74.45675, 
40.52180, -74.45673, 
40.52188, -74.45672, 
40.52195, -74.45671, 
40.52202, -74.45670, 
40.52207, -74.45670, 
40.52213, -74.45670, 
40.52220, -74.45671, 
40.52230, -74.45673, 
40.52255, -74.45678, 
40.52257, -74.45678, 
40.52268, -74.45681, 
40.52274, -74.45682, 
40.52279, -74.45684, 
40.52283, -74.45687, 
40.52286, -74.45689, 
40.52289, -74.45691, 
40.52291, -74.45693, 
40.52294, -74.45696, 
40.52296, -74.45699, 
40.52298, -74.45702, 
40.52300, -74.45705, 
40.52300, -74.45707, 
40.52302, -74.45710, 
40.52302, -74.45712, 
40.52308, -74.45735, 
40.52310, -74.45743, 
40.52312, -74.45748, 
40.52315, -74.45754, 
40.52318, -74.45757, 
40.52320, -74.45760, 
40.52325, -74.45764, 
40.52329, -74.45768, 
40.52352, -74.45781, 
40.52353, -74.45782, 
40.52362, -74.45787, 
40.52368, -74.45792, 
40.52372, -74.45795, 
40.52377, -74.45798, 
40.52384, -74.45804, 
40.52390, -74.45809, 
40.52397, -74.45815, 
40.52405, -74.45823, 
40.52413, -74.45832, 
40.52420, -74.45841, 
40.52430, -74.45855, 
40.52435, -74.45861, 
40.52443, -74.45870, 
40.52435, -74.45877, 
40.52426, -74.45882, 
40.52421, -74.45882, 
40.52417, -74.45880, 
40.52414, -74.45877, 
40.52411, -74.45871, 
40.52404, -74.45855, 
40.52399, -74.45845, 
40.52393, -74.45837, 
40.52389, -74.45831, 
40.52386, -74.45827, 
40.52382, -74.45823, 
40.52379, -74.45819, 
40.52375, -74.45815, 
40.52370, -74.45812, 
40.52363, -74.45808, 
40.52353, -74.45802, 
40.52349, -74.45799, 
40.52343, -74.45796, 
